text,label,language,style
मेरी बात सुनिए... जीने की कोई वजह नहीं बची है,SELF_HARM_CONCERN,hi,conversational_augmented
सुरक्षा दीजिए हमें पुलिस की सख्त जरूरत है,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
urgent hai... movie ka scene discuss kar rahe the dost ke sath please madad karo.,NEUTRAL_NO_INDICATOR,hinglish,conversational_augmented
listen... koi reason nahi bacha live karne ka,SELF_HARM_CONCERN,hinglish,conversational_augmented
Sir... he followed my vehicle for over five kilometers I don't know what to do.,STALKING_FOLLOWING,en,conversational_augmented
मैं बहुत परेशान हूं... पता नहीं कौन था और क्या जगह थी जल्दी पुलिस भेजिए।,UNCERTAINTY_UNCLEAR_INFO,hi,conversational_augmented
blackmail kar raha hai ki social media par daal dega,COERCION_BLACKMAIL,hinglish,conversational_augmented
Hello... the situation is volatile and constantly shifting,CONTRADICTORY_CHANGING_SITUATION,en,conversational_augmented
हम केवल समय और तारीख की जानकारी के लिए कॉल किए हैं जल्दी पुलिस भेजिए।,NEUTRAL_NO_INDICATOR,hi,conversational_augmented
I need urgent help... the local panchayat has ordered a complete social boycott I am telling the truth.,SOCIAL_COMMUNITY_PRESSURE,en,conversational_augmented
Please listen... the kids are terrified and screaming please help immediately.,FEAR_DISTRESS_PANIC,en,conversational_augmented
jaati soochak shabdon se gali di aur bhedbhav kiya,DISCRIMINATION_CASTE_VULNERABILITY,hinglish,direct_seed
I need urgent help... please send a PCR emergency van right away please do something quickly.,REQUEST_POLICE_EMERGENCY_HELP,en,conversational_augmented
नमस्ते... मोहल्ले के लोग मिलकर धमकी दे रहे हैं,SOCIAL_COMMUNITY_PRESSURE,hi,conversational_augmented
Hello... I am being stalked by an unknown person continuously,STALKING_FOLLOWING,en,conversational_augmented
मेरी बात सुनिए... मैं यहां बिल्कुल अकेली हूं कोई मदद करने वाला नहीं मुझे समझ नहीं आ रहा क्या करूं।,ISOLATION_NO_SUPPORT,hi,conversational_augmented
"I am completely safe now, police have arrived please send police now.",CURRENT_SAFETY_REASSURANCE,en,conversational_augmented
कृपया ध्यान दीजिए... ब्लैकमेल करके लगातार दबाव बना रहा है,COERCION_BLACKMAIL,hi,conversational_augmented
डर के मारे चीख निकल रही है,FEAR_DISTRESS_PANIC,hi,conversational_augmented
Please hear me... I am having thoughts of self harm please send police now.,SELF_HARM_CONCERN,en,conversational_augmented
sir... he follows me everywhere I go,STALKING_FOLLOWING,hinglish,conversational_augmented
I need urgent help... I feel so overwhelmed and anxious are you listening?,FEAR_DISTRESS_PANIC,en,conversational_augmented
arre... usne galat tarike se touch kiya chedchad ki kya aap sun rahe ho?,SEXUAL_VIOLENCE_HARASSMENT,hinglish,conversational_augmented
Help me... a group of village leaders is threatening our household,SOCIAL_COMMUNITY_PRESSURE,en,conversational_augmented
पता नहीं कौन था और क्या जगह थी,UNCERTAINTY_UNCLEAR_INFO,hi,conversational_augmented
sir... koi sath nahi de raha sabne contact tod diya,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
chest pain aur breathing difficulty ho rahi hai,MEDICAL_EMERGENCY,hinglish,direct_seed
arre... disabled person par assault attempt hua hai jaldi kuch kijiye.,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hinglish,conversational_augmented
I am seriously injured and bleeding please do something quickly.,PHYSICAL_VIOLENCE_INJURY,en,conversational_augmented
madam... pcr van bhejo jaldi address par kya aap sun rahe ho?,REQUEST_POLICE_EMERGENCY_HELP,hinglish,conversational_augmented
Sir... I feel like ending my life right now please help immediately.,SELF_HARM_CONCERN,en,conversational_augmented
Excuse me... a group of village leaders is threatening our household I am telling the truth.,SOCIAL_COMMUNITY_PRESSURE,en,conversational_augmented
सर... स्थिति हर पल बदल रही है कुछ समझ नहीं आ रहा मैं सच कह रहा हूं।,CONTRADICTORY_CHANGING_SITUATION,hi,conversational_augmented
अरे... पारिवारिक प्रताड़ना असहनीय हो गई है मैं सच कह रहा हूं।,DOMESTIC_FAMILY_VIOLENCE,hi,conversational_augmented
deep head laceration with heavy blood loss,MEDICAL_EMERGENCY,en,conversational_augmented
कृपया ध्यान दीजिए... रोज मेरे कॉलेज के बाहर खड़ा रहता है,STALKING_FOLLOWING,hi,conversational_augmented
contradictory situation hai outcome uncertain hai kya aap sun rahe ho?,CONTRADICTORY_CHANGING_SITUATION,hinglish,conversational_augmented
help kijiye... sexual harassment ho raha hai office mein,SEXUAL_VIOLENCE_HARASSMENT,hinglish,conversational_augmented
Ma'am... a strange man follows me from the bus stop to my house I am telling the truth.,STALKING_FOLLOWING,en,conversational_augmented
मेरी बात सुनिए... जातिगत भेदभाव और छुआछूत का शिकार बनाया गया मुझे समझ नहीं आ रहा क्या करूं।,DISCRIMINATION_CASTE_VULNERABILITY,hi,conversational_augmented
नमस्ते... घर के दरवाजे पर लातें मार रहा है प्लीज कुछ कीजिए।,IMMEDIATE_PHYSICAL_DANGER,hi,conversational_augmented
हेल्प कीजिए... सास और ससुर घर में बंद करके मारते हैं मैं सच कह रहा हूं।,DOMESTIC_FAMILY_VIOLENCE,hi,conversational_augmented
मैडम... अकेले कमरे में बंद हूं कोई रिश्तेदार नहीं है प्लीज कुछ कीजिए।,ISOLATION_NO_SUPPORT,hi,conversational_augmented
सर... पता नहीं कौन था और क्या जगह थी,UNCERTAINTY_UNCLEAR_INFO,hi,conversational_augmented
Please listen... he is blackmailing me with private photographs please send police now.,COERCION_BLACKMAIL,en,conversational_augmented
विरोधाभासी बातें हो रही हैं यहां माहौल अस्थिर है जल्दी पुलिस भेजिए।,CONTRADICTORY_CHANGING_SITUATION,hi,conversational_augmented
अरे... घर के दरवाजे पर लातें मार रहा है मुझे समझ नहीं आ रहा क्या करूं।,IMMEDIATE_PHYSICAL_DANGER,hi,conversational_augmented
blackmail kar raha hai ki social media par daal dega mai sach bol raha hu.,COERCION_BLACKMAIL,hinglish,conversational_augmented
Ma'am... a minor child is trapped inside facing grave risk,CHILD_ELDERLY_DISABILITY_VULNERABILITY,en,conversational_augmented
मेरी बात सुनिए... धमकी भरे मैसेज भेज रहा है जल्दी पुलिस भेजिए।,THREAT_INTIMIDATION,hi,conversational_augmented
प्लीज... मेरे साथ शारीरिक जबरदस्ती की गई,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
उसने फोन करके बोला कि तुझे देख लूंगा,THREAT_INTIMIDATION,hi,direct_seed
madam... unpredictable behaviour hai situation continuously changing mujhe samajh nahi aa raha kya karu.,CONTRADICTORY_CHANGING_SITUATION,hinglish,conversational_augmented
mai yahan bilkul akela hu koi relative nahi hai,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
मेरी निजी तस्वीरें वायरल करने की धमकी दे रहा है जल्दी पुलिस भेजिए।,COERCION_BLACKMAIL,hi,conversational_augmented
अरे... रात में सड़क पर खड़ी हूं कोई सुरक्षित जगह नहीं है तुरंत मदद चाहिए।,NO_SAFE_PLACE_HOMELESSNESS,hi,conversational_augmented
ghar me elderly parents hain jo bedridden hain please madad karo.,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hinglish,conversational_augmented
जबरदस्ती करने की कोशिश की उसने,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
Sir... please dispatch police to my location immediately I am telling the truth.,REQUEST_POLICE_EMERGENCY_HELP,en,conversational_augmented
Ma'am... he made vulgar sexual gestures and touched me I am telling the truth.,SEXUAL_VIOLENCE_HARASSMENT,en,conversational_augmented
सुनिए... खतरे में हूं तुरंत पुलिस भेजिए जल्दी पुलिस भेजिए।,IMMEDIATE_PHYSICAL_DANGER,hi,conversational_augmented
hello... mere saath discriminate kiya ja raha hai mai sach bol raha hu.,DISCRIMINATION_CASTE_VULNERABILITY,hinglish,conversational_augmented
सुनिए... फांसी लगाने की सोच रही हूं जल्दी पुलिस भेजिए।,SELF_HARM_CONCERN,hi,conversational_augmented
confused state me hu exact time nahi pata,UNCERTAINTY_UNCLEAR_INFO,hinglish,direct_seed
भेदभाव कर रहे हैं और अपमानजनक शब्द बोल रहे हैं तुरंत मदद चाहिए।,DISCRIMINATION_CASTE_VULNERABILITY,hi,conversational_augmented
मुझे पुलिस सुरक्षा की तुरंत आवश्यकता है जल्दी पुलिस भेजिए।,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
please... pata nahi kahan hu landmark nahi dikh raha send help immediately.,UNCERTAINTY_UNCLEAR_INFO,hinglish,conversational_augmented
मैं बहुत परेशान हूं... सुरक्षा दीजिए हमें पुलिस की सख्त जरूरत है जल्दी पुलिस भेजिए।,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
मैडम... पीसीआर वैन को अलर्ट करके भेजो जल्दी,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
मेरे साथ छेड़छाड़ की गई है प्लीज कुछ कीजिए।,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
help kijiye... homeless ho gaye hain koi shelter nahi hai jaldi kuch kijiye.,NO_SAFE_PLACE_HOMELESSNESS,hinglish,conversational_augmented
प्लीज... नाबालिग बच्ची की सुरक्षा को लेकर बहुत चिंता है मैं सच कह रहा हूं।,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hi,conversational_augmented
I am hiding under the bed he is inside the house,IMMEDIATE_PHYSICAL_DANGER,en,conversational_augmented
sir... dhamka raha hai ki chup baitho send help immediately.,THREAT_INTIMIDATION,hinglish,conversational_augmented
सुनिए... सब कुछ खत्म कर लेना चाहता हूं जल्दी पुलिस भेजिए।,SELF_HARM_CONCERN,hi,conversational_augmented
he is standing outside my door holding a weapon,IMMEDIATE_PHYSICAL_DANGER,en,conversational_augmented
he threatened my family with violence I am telling the truth.,THREAT_INTIMIDATION,en,conversational_augmented
help kijiye... dhamki mil rahi hai ki maar dalega mujhe samajh nahi aa raha kya karu.,THREAT_INTIMIDATION,hinglish,conversational_augmented
help kijiye... police protection chahiye urgent basis pe send help immediately.,REQUEST_POLICE_EMERGENCY_HELP,hinglish,conversational_augmented
I am trapped in an abusive marriage with constant violence please do something quickly.,DOMESTIC_FAMILY_VIOLENCE,en,conversational_augmented
I need urgent help... my in-laws threatened to burn me alive for dowry please help immediately.,DOMESTIC_FAMILY_VIOLENCE,en,conversational_augmented
मेरी बात सुनिए... लीगल एड और कोर्ट प्रक्रिया की जानकारी चाहिए,REQUEST_COUNSELLING_LEGAL_MEDICAL,hi,conversational_augmented
urgent hai... need mental health counselling and legal guidance please madad karo.,REQUEST_COUNSELLING_LEGAL_MEDICAL,hinglish,conversational_augmented
सर... अकेले कमरे में बंद हूं कोई रिश्तेदार नहीं है,ISOLATION_NO_SUPPORT,hi,conversational_augmented
मैं बहुत परेशान हूं... मैं यहां बिल्कुल अकेली हूं कोई मदद करने वाला नहीं,ISOLATION_NO_SUPPORT,hi,conversational_augmented
the attacker has left and there is no danger now,CURRENT_SAFETY_REASSURANCE,en,conversational_augmented
I need legal guidance and lawyer consultation are you listening?,REQUEST_COUNSELLING_LEGAL_MEDICAL,en,conversational_augmented
urgent hai... community pressure banaya ja raha hai case wapas lene mujhe samajh nahi aa raha kya karu.,SOCIAL_COMMUNITY_PRESSURE,hinglish,conversational_augmented
मैं बहुत परेशान हूं... पहले लगा कि सब ठीक है लेकिन अचानक फिर झगड़ा शुरू हो गया प्लीज कुछ कीजिए।,CONTRADICTORY_CHANGING_SITUATION,hi,conversational_augmented
madam... bahar khada hai gaaliyan de raha hai mujhe samajh nahi aa raha kya karu.,IMMEDIATE_PHYSICAL_DANGER,hinglish,conversational_augmented
madam... heavy bleeding ho rahi hai ambulance chahiye turant jaldi kuch kijiye.,MEDICAL_EMERGENCY,hinglish,conversational_augmented
an aggressive person is standing at my doorstep I am telling the truth.,IMMEDIATE_PHYSICAL_DANGER,en,conversational_augmented
Officer... initially it seemed resolved but suddenly violence flared up again please send police now.,CONTRADICTORY_CHANGING_SITUATION,en,conversational_augmented
feeling like committing suicide please help,SELF_HARM_CONCERN,hinglish,direct_seed
Please hear me... he threatened to leak sensitive personal videos online please send police now.,COERCION_BLACKMAIL,en,conversational_augmented
Please hear me... my husband beats me violently every day,DOMESTIC_FAMILY_VIOLENCE,en,conversational_augmented
I have nowhere to go and nobody to call for assistance,ISOLATION_NO_SUPPORT,en,conversational_augmented
सुनिए... मुक्के और लातों से मारपीट की गई क्या आप सुन रहे हैं?,PHYSICAL_VIOLENCE_INJURY,hi,conversational_augmented
मेरी बात सुनिए... हर जगह मेरा पीछा करके वीडियो बनाता है मैं सच कह रहा हूं।,STALKING_FOLLOWING,hi,conversational_augmented
हेल्प कीजिए... रात में सड़क पर खड़ी हूं कोई सुरक्षित जगह नहीं है,NO_SAFE_PLACE_HOMELESSNESS,hi,conversational_augmented
सर... रहने का कोई ठिकाना नहीं है बेघर हो गई हूं,NO_SAFE_PLACE_HOMELESSNESS,hi,conversational_augmented
arre... jabarjasti karne ki koshish ki usne send help immediately.,SEXUAL_VIOLENCE_HARASSMENT,hinglish,conversational_augmented
मुझे जान से मारने की धमकियां मिल रही हैं क्या आप सुन रहे हैं?,THREAT_INTIMIDATION,hi,conversational_augmented
there is an infant and a pregnant woman in the house please do something quickly.,CHILD_ELDERLY_DISABILITY_VULNERABILITY,en,conversational_augmented
गंदी हरकतें और अश्लील इशारे कर रहा है,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
Officer... I am stranded on the roadside with nowhere to sleep are you listening?,NO_SAFE_PLACE_HOMELESSNESS,en,conversational_augmented
suniye... completely isolated and stranded without contacts mai sach bol raha hu.,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
please send police immediately to my location,REQUEST_POLICE_EMERGENCY_HELP,hinglish,conversational_augmented
bola ki consequences bahut bure honge,THREAT_INTIMIDATION,hinglish,direct_seed
Sir... deep head laceration with heavy blood loss please send police now.,MEDICAL_EMERGENCY,en,conversational_augmented
suniye... shaking with fear right now send help immediately.,FEAR_DISTRESS_PANIC,hinglish,conversational_augmented
help kijiye... blackmail kar raha hai ki social media par daal dega,COERCION_BLACKMAIL,hinglish,conversational_augmented
mai bohot pareshan hu... pcr van bhejo jaldi address par mai sach bol raha hu.,REQUEST_POLICE_EMERGENCY_HELP,hinglish,conversational_augmented
madam... chaku se hamla kiya haath cut gaya,PHYSICAL_VIOLENCE_INJURY,hinglish,conversational_augmented
प्लीज... मुझे बहुत डर लग रहा है,FEAR_DISTRESS_PANIC,hi,conversational_augmented
urgent hai... shaking with fear right now jaldi kuch kijiye.,FEAR_DISTRESS_PANIC,hinglish,conversational_augmented
मैडम... स्थिति हर पल बदल रही है कुछ समझ नहीं आ रहा,CONTRADICTORY_CHANGING_SITUATION,hi,conversational_augmented
नमस्ते... he threatened me but I am safe now,CURRENT_SAFETY_REASSURANCE,hi,conversational_augmented
Hello... requesting immediate emergency police dispatch please help immediately.,REQUEST_POLICE_EMERGENCY_HELP,en,conversational_augmented
urgent hai... obscene photos and messages bhej raha hai,SEXUAL_VIOLENCE_HARASSMENT,hinglish,conversational_augmented
I cannot calm down because of fear are you listening?,FEAR_DISTRESS_PANIC,en,conversational_augmented
अरे... रहने का कोई ठिकाना नहीं है बेघर हो गई हूं,NO_SAFE_PLACE_HOMELESSNESS,hi,conversational_augmented
khatam kar dene ki dhmki di usne mujhe samajh nahi aa raha kya karu.,THREAT_INTIMIDATION,hinglish,conversational_augmented
"Sir... I need an ambulance immediately, severe bleeding",MEDICAL_EMERGENCY,en,conversational_augmented
help kijiye... pregnant lady hai ghar pe aur small kids hain jaldi kuch kijiye.,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hinglish,conversational_augmented
listen... koi madad karne wala nahi hai bilkul akeli hu,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
sir... mere sath discrimination ho raha hai office me,DISCRIMINATION_CASTE_VULNERABILITY,hinglish,conversational_augmented
he is forcing me to pay large sums of money,COERCION_BLACKMAIL,en,direct_seed
मेरी बात सुनिए... पीसीआर वैन को अलर्ट करके भेजो जल्दी मैं सच कह रहा हूं।,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
the victim is a differently-abled person unable to run,CHILD_ELDERLY_DISABILITY_VULNERABILITY,en,conversational_augmented
अरे... तुरंत पुलिस भेजिए यहां बहुत जरूरी है,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
कृपया ध्यान दीजिए... स्टॉकिंग कर रहा है लगातार नजर रख रहा है प्लीज कुछ कीजिए।,STALKING_FOLLOWING,hi,conversational_augmented
suniye... ab mai safe hu police aa gayi hai,CURRENT_SAFETY_REASSURANCE,hinglish,conversational_augmented
Sir... I am trapped in an abusive marriage with constant violence are you listening?,DOMESTIC_FAMILY_VIOLENCE,en,conversational_augmented
Sir... a group of village leaders is threatening our household,SOCIAL_COMMUNITY_PRESSURE,en,conversational_augmented
प्लीज... मजबूर कर रहा है गैरकानूनी काम करने के लिए,COERCION_BLACKMAIL,hi,conversational_augmented
I need urgent help... I am dreading what might happen next are you listening?,FEAR_DISTRESS_PANIC,en,conversational_augmented
Officer... no physical violence or threats occurred are you listening?,NEUTRAL_NO_INDICATOR,en,conversational_augmented
usne mujhe koi dhamki nahi di hai,NEUTRAL_NO_INDICATOR,hinglish,conversational_augmented
I cannot continue living like this,SELF_HARM_CONCERN,en,conversational_augmented
नमस्ते... तुरंत एम्बुलेंस भेजिए मरीज की हालत गंभीर है,MEDICAL_EMERGENCY,hi,conversational_augmented
Help me... deep head laceration with heavy blood loss please send police now.,MEDICAL_EMERGENCY,en,conversational_augmented
घर में छोटा बच्चा और गर्भवती महिला है,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hi,direct_seed
madam... he did not threaten me mai sach bol raha hu.,NEUTRAL_NO_INDICATOR,hinglish,conversational_augmented
सर... सिर पर गहरी चोट है और उल्टियां हो रही हैं जल्दी पुलिस भेजिए।,MEDICAL_EMERGENCY,hi,conversational_augmented
arre... pata nahi kahan hu landmark nahi dikh raha send help immediately.,UNCERTAINTY_UNCLEAR_INFO,hinglish,conversational_augmented
Help me... my in-laws threatened to burn me alive for dowry please do something quickly.,DOMESTIC_FAMILY_VIOLENCE,en,conversational_augmented
sir... casteist slurs use karke publically insult kiya mai sach bol raha hu.,DISCRIMINATION_CASTE_VULNERABILITY,hinglish,conversational_augmented
operator: how may I assist your query today sir?,NEUTRAL_NO_INDICATOR,hinglish,conversational_augmented
कोई साथ देने वाला नहीं है चारों तरफ से अकेली हूं,ISOLATION_NO_SUPPORT,hi,direct_seed
suniye... bola ki consequences bahut bure honge jaldi kuch kijiye.,THREAT_INTIMIDATION,hinglish,conversational_augmented
he slapped and physically battered me please help immediately.,PHYSICAL_VIOLENCE_INJURY,en,conversational_augmented
मैं बहुत परेशान हूं... सिर पर गहरी चोट है और उल्टियां हो रही हैं मुझे समझ नहीं आ रहा क्या करूं।,MEDICAL_EMERGENCY,hi,conversational_augmented
मेरी बात सुनिए... पति ने कमरे में बंद करके पीटा,DOMESTIC_FAMILY_VIOLENCE,hi,conversational_augmented
बुजुर्ग माता-पिता हैं जो चलने में असमर्थ हैं तुरंत मदद चाहिए।,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hi,conversational_augmented
Ma'am... he beat me up with a metal rod please send police now.,PHYSICAL_VIOLENCE_INJURY,en,conversational_augmented
usne galat tarike se touch kiya chedchad ki,SEXUAL_VIOLENCE_HARASSMENT,hinglish,direct_seed
I need urgent help... I am facing continuous sexual harassment at workplace please send police now.,SEXUAL_VIOLENCE_HARASSMENT,en,conversational_augmented
मैं बहुत परेशान हूं... मोहल्ले के लोग मिलकर धमकी दे रहे हैं प्लीज कुछ कीजिए।,SOCIAL_COMMUNITY_PRESSURE,hi,conversational_augmented
अभी मैं सेफ जगह पर पहुंच गई हूं,CURRENT_SAFETY_REASSURANCE,hi,conversational_augmented
arre... operator: how may I assist your query today sir? kya aap sun rahe ho?,NEUTRAL_NO_INDICATOR,hinglish,conversational_augmented
listen... situation control me hai tension ki baat nahi hai kya aap sun rahe ho?,CURRENT_SAFETY_REASSURANCE,hinglish,conversational_augmented
Please hear me... I don't know the exact landmark around me please do something quickly.,UNCERTAINTY_UNCLEAR_INFO,en,conversational_augmented
Hello... the situation is terrifying and we are in panic please send police now.,FEAR_DISTRESS_PANIC,en,conversational_augmented
I am scared because he is outside my house please send police now.,IMMEDIATE_PHYSICAL_DANGER,en,conversational_augmented
tracking my daily movements and clicking photos send help immediately.,STALKING_FOLLOWING,hinglish,conversational_augmented
he attempted to sexually assault me,SEXUAL_VIOLENCE_HARASSMENT,en,conversational_augmented
help kijiye... need mental health counselling and legal guidance,REQUEST_COUNSELLING_LEGAL_MEDICAL,hinglish,conversational_augmented
help kijiye... mai yahan bilkul akela hu koi relative nahi hai,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
काउंसलर से बात करा दीजिए मानसिक तनाव के लिए,REQUEST_COUNSELLING_LEGAL_MEDICAL,hi,direct_seed
Excuse me... experiencing severe chest pain and medical collapse I don't know what to do.,MEDICAL_EMERGENCY,en,conversational_augmented
Please listen... the victim is a differently-abled person unable to run,CHILD_ELDERLY_DISABILITY_VULNERABILITY,en,conversational_augmented
रास्ते में रोक कर गलत तरीके से हाथ पकड़ा,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
अरे... वो कह रहा है कि बाहर निकलते ही हमला करेगा मैं सच कह रहा हूं।,THREAT_INTIMIDATION,hi,conversational_augmented
Officer... I was sexually harassed on my way home please help immediately.,SEXUAL_VIOLENCE_HARASSMENT,en,conversational_augmented
hello... police protection chahiye urgent basis pe,REQUEST_POLICE_EMERGENCY_HELP,hinglish,conversational_augmented
कृपया अपनी शिकायत की श्रेणी और जिला बताइए,NEUTRAL_NO_INDICATOR,hi,direct_seed
मुझे ठीक से याद नहीं आ रहा क्या हुआ था,UNCERTAINTY_UNCLEAR_INFO,hi,conversational_augmented
सर... मैं यहां बिल्कुल अकेली हूं कोई मदद करने वाला नहीं,ISOLATION_NO_SUPPORT,hi,conversational_augmented
Ma'am... I am uncertain and confused about what transpired please do something quickly.,UNCERTAINTY_UNCLEAR_INFO,en,conversational_augmented
Sir... requesting legal aid assistance for filing case are you listening?,REQUEST_COUNSELLING_LEGAL_MEDICAL,en,conversational_augmented
listen... sometimes calm sometimes suddenly attacks again,CONTRADICTORY_CHANGING_SITUATION,hinglish,conversational_augmented
mai bohot pareshan hu... openly dhamki de raha hai maar peet karne ki mujhe samajh nahi aa raha kya karu.,THREAT_INTIMIDATION,hinglish,conversational_augmented
मैडम... तुरंत पुलिस भेजिए यहां बहुत जरूरी है,REQUEST_POLICE_EMERGENCY_HELP,hi,conversational_augmented
अरे... कन्फ्यूज हूं शायद कल या परसों की बात है प्लीज कुछ कीजिए।,UNCERTAINTY_UNCLEAR_INFO,hi,conversational_augmented
